user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
EHA05646_bin.100	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	GCA_900541465.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	95.47	0.624	GCA_900541465.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	95.47	0.624	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019416805.1, s__Fusobacterium_B sp019416805, 95.0, 94.44, 0.556; GCF_021531475.1, s__Fusobacterium_B sp900554885, 95.0, 90.46, 0.265; GCF_021531595.1, s__Fusobacterium_B sp900554355, 95.0, 87.8, 0.412; GCA_900542625.1, s__Fusobacterium_B sp900542625, 95.0, 84.98, 0.255; GCA_020024855.1, s__Fusobacterium_B sp020024855, 95.0, 84.59, 0.236; GCA_019416865.1, s__Fusobacterium_B sp019416865, 95.0, 84.57, 0.24; GCA_900545035.1, s__Fusobacterium_B sp900545035, 95.0, 83.69, 0.171	74.14	11	N/A	N/A
EHA05646_bin.33	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__UBA3375;g__UBA3375;s__	N/A	N/A	N/A	N/A	N/A	GCA_900551955.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__UBA3375;g__UBA3375;s__UBA3375 sp900551955	91.46	0.788	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__UBA3375;g__UBA3375;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	85.16	11	0.98936	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA05646_bin.39	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__	N/A	N/A	N/A	N/A	N/A	GCA_020025885.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus sp020025885	89.8	0.551	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_020025755.1, s__Butyricicoccus sp020025755, 95.0, 84.13, 0.311; GCA_029257685.1, s__Butyricicoccus sp029257685, 95.0, 83.84, 0.234	81.65	11	0.99159	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA05646_bin.44	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-465;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-465;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.13	11	0.77858	N/A
EHA05646_bin.92	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	97.78	0.917	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	97.78	0.917	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258205.1, s__Sarcina sp029258205, 95.0, 93.37, 0.686; GCF_029267215.1, s__Sarcina sp029267215, 95.0, 86.79, 0.254	84.83	11	N/A	N/A
EHA05646_bin.98	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	GCF_021531475.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	96.4	0.842	GCF_021531475.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	96.4	0.842	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258315.1, s__Fusobacterium_B sp029258315, 95.0, 86.04, 0.378; GCF_000622245.1, s__Fusobacterium_B perfoetens, 95.0, 84.51, 0.237; GCF_012843705.1, s__Fusobacterium_B sp012843705, 95.0, 84.12, 0.256	82.01	11	N/A	N/A
EHA05651_bin.31	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.33	11	0.98432	N/A
EHA05651_bin.32	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	GCF_900475675.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	99.11	0.907	GCF_900475675.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	99.11	0.907	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_011387195.1, s__Streptococcus ruminicola, 95.0, 94.2, 0.801; GCF_000154985.1, s__Streptococcus infantarius, 95.0, 94.09, 0.784; GCF_900101445.1, s__Streptococcus equinus_B, 95.0, 93.52, 0.794; GCF_900104225.1, s__Streptococcus equinus_D, 95.0, 89.55, 0.675; GCF_016461705.1, s__Streptococcus vicugnae, 95.0, 89.47, 0.69; GCF_000187265.1, s__Streptococcus equinus, 95.0, 89.06, 0.615; GCF_934196125.1, s__Streptococcus sp934196125, 95.0, 86.03, 0.378; GCF_004843545.1, s__Streptococcus pasteurianus, 95.21, 85.83, 0.39; GCF_002000985.1, s__Streptococcus gallolyticus, 96.3, 85.12, 0.392; GCA_000283635.1, s__Streptococcus macedonicus, 95.18, 85.0, 0.401; GCF_003337175.1, s__Streptococcus gallolyticus_B, 95.0, 84.05, 0.335; GCA_019116645.1, s__Streptococcus faecavium, 95.0, 82.12, 0.164	98.43	11	N/A	N/A
EHA05651_bin.69	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	97.78	0.747	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	97.78	0.747	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258205.1, s__Sarcina sp029258205, 95.0, 93.12, 0.622; GCF_029267215.1, s__Sarcina sp029267215, 95.0, 87.4, 0.233	83.42	11	N/A	N/A
EHA05651_bin.9	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__Allobaculum stercoricanis	GCF_000384195.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__Allobaculum stercoricanis	95.65	0.924	GCF_000384195.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__Allobaculum stercoricanis	95.65	0.924	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030528085.1, s__Allobaculum sp030528085, 95.0, 86.97, 0.546	91.36	11	N/A	N/A
EHA05655_bin.12	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__	N/A	N/A	N/A	N/A	N/A	GCA_029258655.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__Taurinivorans sp029258655	87.52	0.53	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_020024815.1, s__Taurinivorans sp020024815, 95.0, 89.27, 0.52	93.84	11	0.98998	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA05655_bin.23	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__	N/A	N/A	N/A	N/A	N/A	GCA_020024265.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum sp020024265	82.82	0.334	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	94.68	11	0.99025	N/A
EHA05655_bin.24	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__	N/A	N/A	N/A	N/A	N/A	GCA_029258245.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__Longicatena sp029258245	91.75	0.704	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_020025055.1, s__Longicatena sp020025055, 95.0, 86.84, 0.559	94.04	11	0.99247	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA05655_bin.49	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__	N/A	N/A	N/A	N/A	N/A	GCF_003670275.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C labetoulli	94.67	0.763	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000765825.2, s__Helicobacter_C magdeburgensis, 95.0, 90.31, 0.702; GCF_000155475.1, s__Helicobacter_C cinaedi, 95.0, 89.82, 0.668	92.97	11	0.99313	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA05655_bin.51	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	GCA_937890525.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	96.79	0.853	GCA_937890525.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	96.79	0.853	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	80.56	11	N/A	N/A
EHA05655_bin.55	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.09	0.923	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.09	0.923	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258205.1, s__Sarcina sp029258205, 95.0, 92.38, 0.66; GCF_029267215.1, s__Sarcina sp029267215, 95.0, 85.21, 0.249	70.21	11	N/A	N/A
EHA05655_bin.56	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp026169575	GCA_026169575.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp026169575	97.76	0.839	GCA_026169575.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp026169575	97.76	0.839	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900546325.1, s__Faecalimonas sp900546325, 95.0, 85.88, 0.467; GCF_004346095.1, s__Faecalimonas umbilicata, 95.0, 85.05, 0.405	62.56	11	N/A	N/A
EHA05655_bin.76	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.67	11	0.97137	N/A
EHA05655_bin.84	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp902364775	GCF_902364775.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp902364775	95.09	0.807	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_902364775.1, s__Collinsella sp902364775, 95.0, 95.09, 0.807; GCF_000156175.1, s__Collinsella intestinalis, 95.0, 94.62, 0.802; GCA_900551665.1, s__Collinsella sp900551665, 95.0, 94.4, 0.69; GCA_020025115.1, s__Collinsella sp020025115, 95.0, 89.67, 0.47; GCA_958443615.1, s__Collinsella sp958443615, 95.0, 89.61, 0.466; GCA_029264355.1, s__Collinsella sp029264355, 95.0, 89.48, 0.568; GCA_902470815.1, s__Collinsella sp902470815, 95.0, 87.96, 0.299; GCA_900540845.1, s__Collinsella sp900540845, 95.0, 86.33, 0.243; GCF_003479805.1, s__Collinsella sp003479805, 95.0, 86.33, 0.189; GCF_020735465.1, s__Collinsella stercoris, 95.0, 86.29, 0.208; GCA_030525945.1, s__Collinsella sp030525945, 95.0, 86.04, 0.164	64.33	11	N/A	Genome has more than 15.0% of markers with multiple hits
EHA05655_bin.88	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.3	11	0.96978	N/A
EHA05655_bin.98	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	GCA_902470445.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	97.99	0.793	GCA_902470445.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	97.99	0.793	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008151785.1, s__Peptacetobacter hiranonis, 95.0, 92.26, 0.647; GCA_900539645.1, s__Peptacetobacter sp900539645, 95.0, 91.56, 0.589; GCF_029264495.1, s__Peptacetobacter sp029264495, 95.0, 85.12, 0.199	57.91	11	N/A	N/A
EHA05659_bin.11	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	GCA_937890525.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	97.15	0.897	GCA_937890525.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	97.15	0.897	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	72.65	11	N/A	N/A
EHA05659_bin.3	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__CALDMQ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__CALDMQ01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	92.91	11	0.95782	N/A
EHA05659_bin.7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Actinobacillus_C;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Actinobacillus_C;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	96.8	11	0.92487	N/A
EHA05659_bin.90	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_900547475.1, s__Clostridium sp900547475, 95.0, 90.1, 0.623; GCF_026168755.1, s__Clostridium sp026168755, 95.0, 90.06, 0.608; GCF_004353185.1, s__Clostridium cuniculi, 95.0, 89.85, 0.66; GCF_900543325.1, s__Clostridium sp900543325, 95.0, 88.35, 0.524; GCF_015555905.1, s__Clostridium sp015555905, 95.0, 88.24, 0.52; GCF_934754925.1, s__Clostridium sp934754925, 95.0, 88.22, 0.538; GCF_019734195.1, s__Clostridium sp900766315, 95.0, 86.31, 0.442; GCA_017383505.1, s__Clostridium sp017383505, 95.0, 85.77, 0.382; GCF_910588715.1, s__Clostridium sp910588715, 95.0, 85.07, 0.445; GCF_015667795.1, s__Clostridium sp015667795, 95.0, 84.21, 0.454; GCF_900540255.1, s__Clostridium sp900540255, 95.0, 83.16, 0.251; GCF_015670405.1, s__Clostridium sp015670405, 95.0, 83.11, 0.254; GCF_000577815.1, s__Clostridium saudiense, 95.0, 82.55, 0.265; GCF_000320405.1, s__Clostridium celatum, 95.0, 81.26, 0.165	94.22	11	0.99252	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA05659_bin.91	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	GCA_902470445.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	98.0	0.791	GCA_902470445.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	98.0	0.791	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008151785.1, s__Peptacetobacter hiranonis, 95.0, 93.5, 0.682; GCA_900539645.1, s__Peptacetobacter sp900539645, 95.0, 92.54, 0.652; GCF_029264495.1, s__Peptacetobacter sp029264495, 95.0, 84.84, 0.229	52.65	11	N/A	N/A
EHA05663_bin.43	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__	N/A	N/A	N/A	N/A	N/A	GCF_910588665.1	95.0	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira sp910588665	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_949287565.1, s__Brachyspira sp949287565, 95.0, 83.37, 0.18; GCF_944393015.1, s__Brachyspira sp944393015, 95.0, 83.12, 0.247; GCF_001049755.1, s__Brachyspira suanatina, 95.0, 82.78, 0.235; GCF_000223215.1, s__Brachyspira intermedia, 95.0, 82.66, 0.229; GCF_001676785.2, s__Brachyspira hyodysenteriae, 95.0, 82.43, 0.234; GCF_029258575.1, s__Brachyspira sp029258575, 95.0, 82.19, 0.213; GCF_944390845.1, s__Brachyspira sp944390845, 95.0, 82.09, 0.192; GCA_944392715.1, s__Brachyspira sp944392715, 95.0, 81.96, 0.198; GCF_002214805.1, s__Brachyspira hampsonii, 95.0, 81.95, 0.204; GCF_001746205.1, s__Brachyspira hampsonii_B, 95.0, 81.9, 0.208; GCF_000316195.1, s__Brachyspira hampsonii_C, 95.0, 81.74, 0.198; GCF_000518245.1, s__Brachyspira alvinipulli, 95.0, 81.57, 0.179; GCA_949300355.1, s__Brachyspira sp949300355, 95.0, 81.51, 0.195; GCF_000092845.1, s__Brachyspira murdochii, 95.0, 81.51, 0.192; GCF_000384655.1, s__Brachyspira innocens, 95.0, 81.3, 0.188; GCF_944388875.1, s__Brachyspira sp944388875, 95.0, 81.15, 0.174; GCF_910578695.1, s__Brachyspira sp910578695, 95.0, 81.1, 0.18; GCF_949287625.1, s__Brachyspira sp949287625, 95.0, 81.02, 0.172; GCF_002379365.1, s__Brachyspira sp002379365, 95.0, 80.85, 0.169; GCF_944390595.1, s__Brachyspira sp944390595, 95.0, 80.76, 0.161	92.95	11	0.97492	N/A
EHA05663_bin.48	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.1	0.931	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.1	0.931	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258205.1, s__Sarcina sp029258205, 95.0, 93.81, 0.694; GCF_029267215.1, s__Sarcina sp029267215, 95.0, 87.47, 0.305	85.74	11	N/A	N/A
EHA05663_bin.56	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	GCA_937890525.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	97.93	0.939	GCA_937890525.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	97.93	0.939	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	74.94	11	N/A	N/A
EHA05663_bin.61	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp937943605	GCA_937943605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp937943605	97.93	0.91	GCA_937943605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp937943605	97.93	0.91	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_020025915.1, s__Sutterella sp020025915, 95.0, 94.25, 0.746; GCA_905186105.1, s__Sutterella sp905186105, 95.0, 85.55, 0.45	95.55	11	N/A	N/A
